over,season,batting_team,total_wickets
1,2008.0,Royal Challengers Bangalore,1.0
1,2008.0,Royal Challengers Bangalore,1.0
1,2008.0,Royal Challengers Bangalore,1.0
1,2008.0,Royal Challengers Bangalore,1.0
1,2008.0,Royal Challengers Bangalore,1.0
2,2008.0,Royal Challengers Bangalore,2.0
2,2008.0,Royal Challengers Bangalore,2.0
2,2008.0,Royal Challengers Bangalore,2.0
2,2008.0,Royal Challengers Bangalore,2.0
3,2008.0,Royal Challengers Bangalore,3.0
3,2008.0,Royal Challengers Bangalore,3.0
3,2008.0,Royal Challengers Bangalore,3.0
3,2008.0,Royal Challengers Bangalore,3.0
3,2008.0,Royal Challengers Bangalore,3.0
4,2008.0,Royal Challengers Bangalore,4.0
4,2008.0,Royal Challengers Bangalore,4.0
4,2008.0,Royal Challengers Bangalore,4.0
5,2008.0,Royal Challengers Bangalore,5.0
5,2008.0,Royal Challengers Bangalore,5.0
5,2008.0,Royal Challengers Bangalore,5.0
5,2008.0,Royal Challengers Bangalore,5.0
5,2008.0,Royal Challengers Bangalore,5.0
5,2008.0,Royal Challengers Bangalore,5.0
5,2008.0,Royal Challengers Bangalore,5.0
6,2008.0,Royal Challengers Bangalore,6.0
6,2008.0,Royal Challengers Bangalore,6.0
6,2008.0,Royal Challengers Bangalore,6.0
6,2008.0,Royal Challengers Bangalore,6.0
6,2008.0,Royal Challengers Bangalore,6.0
7,2008.0,Royal Challengers Bangalore,7.0
7,2008.0,Royal Challengers Bangalore,7.0
7,2008.0,Royal Challengers Bangalore,7.0
8,2008.0,Royal Challengers Bangalore,8.0
8,2008.0,Royal Challengers Bangalore,8.0
8,2008.0,Royal Challengers Bangalore,8.0
8,2008.0,Royal Challengers Bangalore,8.0
9,2008.0,Royal Challengers Bangalore,9.0
9,2008.0,Royal Challengers Bangalore,9.0
9,2008.0,Royal Challengers Bangalore,9.0
9,2008.0,Royal Challengers Bangalore,9.0
10,2008.0,Royal Challengers Bangalore,10.0
10,2008.0,Royal Challengers Bangalore,10.0
10,2008.0,Royal Challengers Bangalore,10.0
10,2008.0,Royal Challengers Bangalore,10.0
11,2008.0,Royal Challengers Bangalore,11.0
11,2008.0,Royal Challengers Bangalore,11.0
11,2008.0,Royal Challengers Bangalore,11.0
11,2008.0,Royal Challengers Bangalore,11.0
11,2008.0,Royal Challengers Bangalore,11.0
12,2008.0,Royal Challengers Bangalore,12.0
12,2008.0,Royal Challengers Bangalore,12.0
12,2008.0,Royal Challengers Bangalore,12.0
12,2008.0,Royal Challengers Bangalore,12.0
13,2008.0,Royal Challengers Bangalore,13.0
13,2008.0,Royal Challengers Bangalore,13.0
13,2008.0,Royal Challengers Bangalore,13.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
14,2008.0,Royal Challengers Bangalore,14.0
15,2008.0,Royal Challengers Bangalore,15.0
15,2008.0,Royal Challengers Bangalore,15.0
15,2008.0,Royal Challengers Bangalore,15.0
15,2008.0,Royal Challengers Bangalore,15.0
15,2008.0,Royal Challengers Bangalore,15.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
16,2008.0,Royal Challengers Bangalore,16.0
17,2008.0,Royal Challengers Bangalore,17.0
17,2008.0,Royal Challengers Bangalore,17.0
17,2008.0,Royal Challengers Bangalore,17.0
17,2008.0,Royal Challengers Bangalore,17.0
18,2008.0,Royal Challengers Bangalore,18.0
18,2008.0,Royal Challengers Bangalore,18.0
18,2008.0,Royal Challengers Bangalore,18.0
18,2008.0,Royal Challengers Bangalore,18.0
18,2008.0,Royal Challengers Bangalore,18.0
18,2008.0,Royal Challengers Bangalore,18.0
18,2008.0,Royal Challengers Bangalore,18.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
19,2008.0,Royal Challengers Bangalore,19.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
20,2008.0,Royal Challengers Bangalore,20.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
1,2009.0,Royal Challengers Bangalore,1.0
2,2009.0,Royal Challengers Bangalore,2.0
2,2009.0,Royal Challengers Bangalore,2.0
2,2009.0,Royal Challengers Bangalore,2.0
2,2009.0,Royal Challengers Bangalore,2.0
2,2009.0,Royal Challengers Bangalore,2.0
3,2009.0,Royal Challengers Bangalore,3.0
3,2009.0,Royal Challengers Bangalore,3.0
3,2009.0,Royal Challengers Bangalore,3.0
4,2009.0,Royal Challengers Bangalore,4.0
4,2009.0,Royal Challengers Bangalore,4.0
4,2009.0,Royal Challengers Bangalore,4.0
5,2009.0,Royal Challengers Bangalore,5.0
5,2009.0,Royal Challengers Bangalore,5.0
5,2009.0,Royal Challengers Bangalore,5.0
5,2009.0,Royal Challengers Bangalore,5.0
5,2009.0,Royal Challengers Bangalore,5.0
6,2009.0,Royal Challengers Bangalore,6.0
6,2009.0,Royal Challengers Bangalore,6.0
6,2009.0,Royal Challengers Bangalore,6.0
6,2009.0,Royal Challengers Bangalore,6.0
7,2009.0,Royal Challengers Bangalore,7.0
7,2009.0,Royal Challengers Bangalore,7.0
7,2009.0,Royal Challengers Bangalore,7.0
7,2009.0,Royal Challengers Bangalore,7.0
8,2009.0,Royal Challengers Bangalore,8.0
8,2009.0,Royal Challengers Bangalore,8.0
8,2009.0,Royal Challengers Bangalore,8.0
9,2009.0,Royal Challengers Bangalore,9.0
9,2009.0,Royal Challengers Bangalore,9.0
9,2009.0,Royal Challengers Bangalore,9.0
9,2009.0,Royal Challengers Bangalore,9.0
10,2009.0,Royal Challengers Bangalore,10.0
10,2009.0,Royal Challengers Bangalore,10.0
10,2009.0,Royal Challengers Bangalore,10.0
10,2009.0,Royal Challengers Bangalore,10.0
11,2009.0,Royal Challengers Bangalore,11.0
11,2009.0,Royal Challengers Bangalore,11.0
11,2009.0,Royal Challengers Bangalore,11.0
11,2009.0,Royal Challengers Bangalore,11.0
11,2009.0,Royal Challengers Bangalore,11.0
11,2009.0,Royal Challengers Bangalore,11.0
12,2009.0,Royal Challengers Bangalore,12.0
12,2009.0,Royal Challengers Bangalore,12.0
12,2009.0,Royal Challengers Bangalore,12.0
12,2009.0,Royal Challengers Bangalore,12.0
12,2009.0,Royal Challengers Bangalore,12.0
12,2009.0,Royal Challengers Bangalore,12.0
12,2009.0,Royal Challengers Bangalore,12.0
13,2009.0,Royal Challengers Bangalore,13.0
13,2009.0,Royal Challengers Bangalore,13.0
13,2009.0,Royal Challengers Bangalore,13.0
13,2009.0,Royal Challengers Bangalore,13.0
14,2009.0,Royal Challengers Bangalore,14.0
14,2009.0,Royal Challengers Bangalore,14.0
14,2009.0,Royal Challengers Bangalore,14.0
15,2009.0,Royal Challengers Bangalore,15.0
15,2009.0,Royal Challengers Bangalore,15.0
15,2009.0,Royal Challengers Bangalore,15.0
15,2009.0,Royal Challengers Bangalore,15.0
15,2009.0,Royal Challengers Bangalore,15.0
15,2009.0,Royal Challengers Bangalore,15.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
16,2009.0,Royal Challengers Bangalore,16.0
17,2009.0,Royal Challengers Bangalore,17.0
17,2009.0,Royal Challengers Bangalore,17.0
17,2009.0,Royal Challengers Bangalore,17.0
17,2009.0,Royal Challengers Bangalore,17.0
17,2009.0,Royal Challengers Bangalore,17.0
17,2009.0,Royal Challengers Bangalore,17.0
18,2009.0,Royal Challengers Bangalore,18.0
18,2009.0,Royal Challengers Bangalore,18.0
18,2009.0,Royal Challengers Bangalore,18.0
18,2009.0,Royal Challengers Bangalore,18.0
