,batsman,total_batsman
0,V Kohli,4115
1,SK Raina,4106
2,RG Sharma,3874
3,G Gambhir,3634
4,CH Gayle,3451
5,RV Uthappa,3390
6,DA Warner,3373
7,MS Dhoni,3270
8,AB de Villiers,3270
9,S Dhawan,3082
10,YK Pathan,2779
11,V Sehwag,2728
12,AM Rahane,2675
13,SR Watson,2557
14,KD Karthik,2542
15,M Vijay,2511
16,BB McCullum,2435
17,JH Kallis,2427
18,Yuvraj Singh,2339
19,SR Tendulkar,2334
20,AT Rayudu,2325
21,SE Marsh,2225
22,R Dravid,2174
23,DR Smith,2146
24,AC Gilchrist,2069
25,JP Duminy,1993
26,MEK Hussey,1977
27,KA Pollard,1959
28,PA Patel,1927
29,MK Pandey,1827
30,DPMD Jayawardene,1808
31,KC Sangakkara,1687
32,RA Jadeja,1574
33,DA Miller,1480
34,NV Ojha,1474
35,S Badrinath,1441
36,BJ Hodge,1400
37,SC Ganguly,1349
38,MK Tiwary,1324
39,WP Saha,1323
40,DJ Hussey,1322
41,AJ Finch,1304
42,F du Plessis,1287
43,DJ Bravo,1262
44,SPD Smith,1241
45,SS Tiwary,1224
46,TM Dilshan,1153
47,IK Pathan,1148
48,ML Hayden,1107
49,SV Samson,1040
50,LRPL Taylor,1017
51,KP Pietersen,1001
52,Y Venugopal Rao,985
53,JA Morkel,975
54,A Symonds,974
55,CL White,971
56,LMP Simmons,942
57,Mandeep Singh,924
58,GJ Maxwell,919
59,HH Gibbs,886
60,KK Nair,877
61,MS Bisla,798
62,EJG Morgan,789
63,MA Agarwal,788
64,Harbhajan Singh,783
65,ST Jayasuriya,768
66,GC Smith,739
67,M Vohra,728
68,Q de Kock,726
69,KL Rahul,725
70,MC Henriques,692
71,AD Mathews,692
72,STR Binny,688
73,TL Suman,676
74,AM Nayar,672
75,GJ Bailey,663
76,KM Jadhav,626
77,JD Ryder,604
78,AD Russell,574
79,RS Bopara,531
80,M Manhas,514
81,PP Chawla,513
82,OA Shah,506
83,PC Valthaty,505
84,SA Yadav,503
85,Shakib Al Hasan,499
86,JP Faulkner,473
87,SS Iyer,469
88,NLTC Perera,424
89,SA Asnodkar,423
90,JR Hopes,417
91,J Botha,409
92,LR Shukla,405
93,AL Menaria,401
94,MV Boucher,394
95,CA Pujara,390
96,Azhar Mahmood,388
97,CJ Anderson,379
98,AR Patel,379
99,DB Ravi Teja,375
100,S Sohal,368
101,Gurkeerat Singh,342
102,DT Christian,341
103,P Kumar,332
104,JEC Franklin,327
105,RN ten Doeschate,326
106,R Bhatia,326
107,AP Tare,321
108,DB Das,304
109,R Vinay Kumar,304
110,LA Pomersbach,302
111,UBT Chand,300
112,DJ Hooda,295
113,DJG Sammy,295
114,A Mishra,291
115,CH Morris,285
116,Y Nagar,285
117,VVS Laxman,282
118,GH Vihari,280
119,B Chipli,280
120,A Ashish Reddy,280
121,MJ Lumb,278
122,R Sathish,270
123,KV Sharma,268
124,M Kaif,259
125,JC Buttler,255
126,SM Katich,241
127,SP Goswami,241
