season,match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,1,G Gambhir,JH Kallis,Z Khan,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,2,G Gambhir,JH Kallis,Z Khan,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,3,G Gambhir,JH Kallis,Z Khan,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,4,G Gambhir,JH Kallis,Z Khan,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,5,G Gambhir,JH Kallis,Z Khan,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,6,G Gambhir,JH Kallis,Z Khan,0,1,0,0,0,0,0,1,1,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,1,7,G Gambhir,JH Kallis,Z Khan,0,0,0,0,0,0,0,0,0,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,2,1,JH Kallis,G Gambhir,SL Malinga,0,0,0,0,0,0,2,0,2,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,2,2,JH Kallis,G Gambhir,SL Malinga,0,0,0,0,0,0,1,0,1,,,
2014,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,1,Kolkata Knight Riders,Mumbai Indians,2,3,G Gambhir,JH Kallis,SL Malinga,0,0,0,0,0,0,0,0,0,,,
