Total percentage of each badge : ,gold = 10.2651459043,silver = 32.9654865946,bronze = 56.7693675011
Name,% of gold,% of silver,% of bronze
Devoted,1.2265512265512266,0.7863401482812851,0.6784083496412263
Matt,0.0,0.0,0.03913894324853229
jason,0.0,0.0,0.03261578604044357
Russell,0.5050505050505051,0.662772410694226,0.7566862361382909
user7083361,0.0,0.0,0.0
ParagM,0.0,0.03370029206919793,0.091324200913242
badner,0.0,0.011233430689732643,0.08480104370515329
Chris Hawk,0.0,0.0,0.03261578604044357
bikuser,0.0,0.0,0.05870841487279843
Gianluca Bargelli,0.03607503607503607,0.12356773758705908,0.136986301369863
Simon,0.7936507936507936,0.8312738710402158,0.7175472928897586
Alan,0.0,0.03370029206919793,0.08480104370515329
XogoX,0.0,0.011233430689732643,0.03913894324853229
Haozhe Xie,0.03607503607503607,0.07863401482812851,0.16960208741030658
HRMokdad,0.0,0.0,0.019569471624266144
Sherry,0.0,0.0,0.03261578604044357
Kairat Tilegen,0.0,0.0,0.0
Mihai Stefanescu,0.0,0.0,0.013046314416177431
valentjedi,0.07215007215007214,0.08986744551786115,0.17612524461839532
coralv,0.0,0.03370029206919793,0.08480104370515329
jiahuiding,0.0,0.0,0.026092628832354862
Ericson Willians,0.10822510822510822,0.14603459896652438,0.2870189171559035
alvas,1.0822510822510822,1.3929454055268478,1.7090671885192432
jprockbelly,0.0,0.044933722758930573,0.07827788649706457
Amelio Vazquez-Reina,1.1183261183261184,1.7636486182880253,2.1069797782126547
Cameron Sima,0.03607503607503607,0.044933722758930573,0.1304631441617743
Lucky,0.0,0.0,0.019569471624266144
e-satis,2.9942279942279946,2.651089642776904,1.872146118721461
Ted Idzikowski,0.0,0.0,0.03261578604044357
Lia ,0.0,0.0,0.03261578604044357
Kubik,0.0,0.0,0.0065231572080887154
Omeed Totakhel,0.0,0.0,0.06523157208088715
MistAK,0.0,0.0,0.013046314416177431
qasim,0.0,0.0,0.019569471624266144
M. Lagha,0.0,0.0,0.019569471624266144
HalfPintBoy,0.0,0.022466861379465287,0.05870841487279843
ovunctuzel,0.0,0.0,0.03261578604044357
user46646,1.2626262626262625,0.6740058413839587,0.4892367906066536
Leandro S. Matos,0.0,0.0,0.019569471624266144
Kshitij Marwah,0.0,0.0,0.03913894324853229
wx Analysis ,0.0,0.0,0.0
an347354,0.0,0.0,0.0065231572080887154
123,0.0,0.0,0.019569471624266144
Adam,0.03607503607503607,0.011233430689732643,0.026092628832354862
Blankman,7.1067821067821075,6.346888339698944,6.046966731898238
Imran,0.5772005772005772,0.820040440350483,0.7045009784735813
AlekseyN,0.0,0.0,0.013046314416177431
Ana,0.0,0.011233430689732643,0.045662100456621
Nikolai,0.0,0.0,0.05870841487279843
lfaraone,0.5050505050505051,0.42687036620984053,0.42400521852576645
Human Cyborg Relations,0.0,0.0,0.05870841487279843
chuck,0.0,0.0,0.019569471624266144
alexis,0.18037518037518038,0.34823635138171194,0.46966731898238745
Jeren,0.0,0.022466861379465287,0.045662100456621
egig,0.10822510822510822,0.11233430689732643,0.18917155903457272
Mia Chen,0.0,0.0,0.019569471624266144
Claudiu,3.318903318903319,3.459896652437654,3.215916503587737
M3105,0.0,0.0,0.045662100456621
Vermillion,0.0,0.0,0.05870841487279843
ShirleyWang,0.0,0.0,0.03261578604044357
Allen,0.0,0.0,0.03913894324853229
devdacool,0.0,0.0,0.026092628832354862
aeRogelio,0.0,0.011233430689732643,0.045662100456621
George,0.0,0.011233430689732643,0.091324200913242
Bain,0.1443001443001443,0.056167153448663215,0.07827788649706457
maggie,0.03607503607503607,0.06740058413839586,0.08480104370515329
gregorej,0.0,0.022466861379465287,0.10437051532941945
Dilli,0.0,0.0,0.052185257664709724
Valerio D. Ciotti,0.07215007215007214,0.06740058413839586,0.11089367253750815
LoneRanger,0.0,0.0,0.019569471624266144
Romeo Kienzler,0.0,0.044933722758930573,0.091324200913242
Ray Vega,2.84992784992785,1.965850370703213,1.1545988258317026
Michelle Serino,0.0,0.0,0.019569471624266144
ningOTI,0.0,0.0,0.013046314416177431
Andy,0.0,0.0,0.019569471624266144
user2497340,0.0,0.0,0.0
Anderson Silva,0.0,0.0,0.026092628832354862
user3132032,0.0,0.0,0.0
John,0.0,0.0,0.03261578604044357
Michele Ancis,0.0,0.0,0.019569471624266144
Oskar,0.25252525252525254,0.31453605931251405,0.4044357469015003
zelenov aleksey,0.0,0.0,0.026092628832354862
Joy,0.0,0.011233430689732643,0.07827788649706457
Feynman27,0.0,0.0,0.052185257664709724
James Lemieux,0.0,0.0,0.06523157208088715
thestp123,0.0,0.0,0.0065231572080887154
GG_Python,0.0,0.10110087620759381,0.14350945857795175
Chris,0.0,0.0,0.045662100456621
Pang,0.0,0.0,0.013046314416177431
Keith,0.0,0.0,0.08480104370515329
noober,0.0,0.0,0.019569471624266144
Joshhh,0.0,0.0,0.013046314416177431
Icedtehkadai,0.0,0.0,0.0
NirIzr,0.0,0.03370029206919793,0.10437051532941945
halochief996,0.0,0.0,0.03913894324853229
Stefano Borini,1.6594516594516595,2.370253875533588,2.146118721461187
Jeyakeethan Geethan,0.0,0.0,0.0065231572080887154
dev-jim,0.0,0.044933722758930573,0.12393998695368559
Alfred H.,0.0,0.0,0.05870841487279843
Simone Jones,0.0,0.0,0.0065231572080887154
A. Mashreghi,0.0,0.022466861379465287,0.08480104370515329
xyz-123,0.03607503607503607,0.12356773758705908,0.12393998695368559
ThePloki,0.0,0.0,0.05870841487279843
Arun,0.0,0.0,0.019569471624266144
MVanOrder,0.0,0.0,0.026092628832354862
Ben Lindsay,0.0,0.03370029206919793,0.091324200913242
jelovirt,0.2886002886002886,0.29206919793304875,0.29354207436399216
user7087840,0.0,0.0,0.0065231572080887154
Joan Venge,4.761904761904762,3.808133003819367,3.731245923026745
Iroh,0.0,0.0,0.052185257664709724
tukra,0.0,0.011233430689732643,0.052185257664709724
Maddy Byahoo,0.0,0.011233430689732643,0.052185257664709724
Neil,0.0,0.0,0.013046314416177431
trent fernandez,0.0,0.0,0.052185257664709724
KDecker,0.07215007215007214,0.08986744551786115,0.18917155903457272
elias bothell,0.0,0.0,0.019569471624266144
