Data Analysed for : ,Location : ,"Boston,MA",Search term: ,#pokemongo
Names,Followers count,Retweeted Count
SoundingPanda,8,1
ZigZaggyZagg,6182,101
DaveWShanahan,1207,10
evankirstel,87002,1
Amesfreelibrary,1287,1
SBS_UMass,989,1
MathWorks,2686,10
RyanYags,651,2
DMcFaddenLowell,2595,1
victorcepedajr0,7,1
playgamerfame,1200,5
birthinjuryinfo,2202,3
FancyJLondon,455513,3
gamebits,1766,1
ms_hansel,409,1
BoondyAlBoondy,112,1
superscoperawks,12,1
Data_Informed,24640,2
JustD3F,90,2
Names,ZigZaggyZagg,Max number of retweets,101
